date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:36	23967/23967	---MCZ	200	added ('OK')	text/html	etag:%22634786b0-5d9f%22	https://htmldemo.net/koparion/index.html	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/index.html	(from )
16:09:37	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Oct%202025%2009:09:38%20GMT	https://htmldemo.net/robots.txt		(from )
16:09:37	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22634786cb-47e%22	https://htmldemo.net/koparion/p2/img/favicon.ico	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/img/favicon.ico	(from https://htmldemo.net/koparion/index.html)
16:09:38	122254/122254	---MCZ	200	added ('OK')	text/css	etag:%22634786b6-1dd8e%22	https://htmldemo.net/koparion/p2/css/bootstrap.min.css	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/css/bootstrap.min.css	(from https://htmldemo.net/koparion/index.html)
16:09:38	31002/31002	---MCZ	200	added ('OK')	text/css	etag:%22634786b8-791a%22	https://htmldemo.net/koparion/p2/css/font-awesome.min.css	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/css/font-awesome.min.css	(from https://htmldemo.net/koparion/index.html)
16:09:38	7410/7410	---MCZ	200	added ('OK')	text/css	etag:%22634786b5-1cf2%22	https://htmldemo.net/koparion/p2/css/et-line.css	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/css/et-line.css	(from https://htmldemo.net/koparion/index.html)
16:09:38	25396/25396	---MCZ	200	added ('OK')	text/css	etag:%22634786b8-6334%22	https://htmldemo.net/koparion/p2/css/plugins.css	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/css/plugins.css	(from https://htmldemo.net/koparion/index.html)
16:09:39	21124/21124	---MCZ	200	added ('OK')	text/css	etag:%22634786b2-5284%22	https://htmldemo.net/koparion/p2/style.css	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/style.css	(from https://htmldemo.net/koparion/index.html)
16:09:39	1730/1730	---MCZ	200	added ('OK')	text/css	etag:%22634786ba-6c2%22	https://htmldemo.net/koparion/p2/css/responsive.css	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/css/responsive.css	(from https://htmldemo.net/koparion/index.html)
16:09:40	15518/15518	---MCZ	200	added ('OK')	application/javascript	etag:%22634786f2-3c9e%22	https://htmldemo.net/koparion/p2/js/vendor/modernizr-2.8.3.min.js	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/js/vendor/modernizr-2.8.3.min.js	(from https://htmldemo.net/koparion/index.html)
16:09:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2020%20Oct%202025%2009:09:41%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/dungb/Downloads/template/www.googletagmanager.com/gtm.95445.delayed	(from https://htmldemo.net/koparion/index.html)
16:09:41	177302/177302	---MCZ	200	added ('OK')	text/html	etag:%2263478708-2b496%22	https://htmldemo.net/koparion/koparion/index.html	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/koparion/index.html	(from https://htmldemo.net/koparion/index.html)
16:09:41	2898/2898	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Oct%202025%2009:09:41%20GMT	https://htmldemo.net/koparion/p2/img/koparion/logo.png	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/img/koparion/logo.png	(from https://htmldemo.net/koparion/index.html)
16:09:41	2836/2836	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Oct%202025%2009:09:42%20GMT	https://htmldemo.net/koparion/p2/img/koparion/2.png	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/img/koparion/2.png	(from https://htmldemo.net/koparion/index.html)
16:09:42	159483/159483	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Oct%202025%2009:09:42%20GMT	https://htmldemo.net/koparion/p2/img/koparion/hero-bg.jpg	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/img/koparion/hero-bg.jpg	(from https://htmldemo.net/koparion/index.html)
16:09:42	160050/160050	---MCZ	200	added ('OK')	text/html	etag:%2263478700-27132%22	https://htmldemo.net/koparion/koparion/index-2.html	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/koparion/index-2.html	(from https://htmldemo.net/koparion/index.html)
16:09:42	34982/34982	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Oct%202025%2009:09:43%20GMT	https://htmldemo.net/koparion/p2/img/koparion/hm-1.jpg	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/img/koparion/hm-1.jpg	(from https://htmldemo.net/koparion/index.html)
16:09:44	32734/32734	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Oct%202025%2009:09:43%20GMT	https://htmldemo.net/koparion/p2/img/koparion/hm-2.jpg	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/img/koparion/hm-2.jpg	(from https://htmldemo.net/koparion/index.html)
16:09:44	220555/220555	---MCZ	200	added ('OK')	text/html	etag:%2263478701-35d8b%22	https://htmldemo.net/koparion/koparion/index-3.html	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/koparion/index-3.html	(from https://htmldemo.net/koparion/index.html)
16:09:44	39329/39329	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Oct%202025%2009:09:45%20GMT	https://htmldemo.net/koparion/p2/img/koparion/hm-3.jpg	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/img/koparion/hm-3.jpg	(from https://htmldemo.net/koparion/index.html)
16:09:45	96483/96483	---MCZ	200	added ('OK')	text/html	etag:%2263478703-178e3%22	https://htmldemo.net/koparion/koparion/index-4.html	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/koparion/index-4.html	(from https://htmldemo.net/koparion/index.html)
16:09:45	42505/42505	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Oct%202025%2009:09:45%20GMT	https://htmldemo.net/koparion/p2/img/koparion/hm-4.jpg	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/img/koparion/hm-4.jpg	(from https://htmldemo.net/koparion/index.html)
16:09:45	206212/206212	---MCZ	200	added ('OK')	text/html	etag:%2263478703-32584%22	https://htmldemo.net/koparion/koparion/index-5.html	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/koparion/index-5.html	(from https://htmldemo.net/koparion/index.html)
16:09:45	27939/27939	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Oct%202025%2009:09:46%20GMT	https://htmldemo.net/koparion/p2/img/koparion/hm-5.jpg	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/p2/img/koparion/hm-5.jpg	(from https://htmldemo.net/koparion/index.html)
16:09:46	175568/175568	---MCZ	200	added ('OK')	text/html	etag:%2263478706-2add0%22	https://htmldemo.net/koparion/koparion/index-6.html	C:/Users/dungb/Downloads/template/htmldemo.net/koparion/koparion/index-6.html	(from https://htmldemo.net/koparion/index.html)
